ID,SKU,Description,Manufacturer,MPN,Designator,Qty,Board,Category,Populate,LCSC_PN,JLC_Status,Stock_Note
44,301010525,SMD RES 0R-±1%-1/20W;0201,YAGEO,RC0201FR-070RL,"R25,R34,R35,R36,R37,R45,R46,R47,R48",9,mainboard,component,yes,C106227,Extended,In stock
45,302010519,SMD CAP Ceramic 10uF-10V-20%-X5R;0402,YAGEO,CC0402MRX5R6BB106,C47,1,mainboard,component,yes,C962143,Extended,In stock
46,302010407,SMD CAP Ceramic 4.7uF-10V-10%-X5R;0402,YAGEO,CC0402KRX5R6BB475,C46,1,mainboard,component,yes,C326586,Extended,In stock
47,302010431,SMD CAP Ceramic 10nF-16V-10%-X7R;0201,YAGEO,CC0201KRX7R7BB103,C24,1,mainboard,component,yes,C272853,Extended,In stock
48,302010426,SMD CAP 2.2nF-10V-10%-X7R;0201,YAGEO,CC0201KRX7R6BB222,C6,1,mainboard,component,yes,C526951,Extended,Out of stock
49,302012841,SMD CAP Ceramic;220nF-10V-10%-X5R;0201,YAGEO,CC0201KRX5R6BB224,C30,1,mainboard,component,yes,C326658,Extended,In stock
50,302010271,SMD CAP Ceramic 100nF-10V-10%-X5R;0201,YAGEO,CC0201KRX5R6BB104,"C4,C8,C9,C10,C11,C14,C16,C26,C34,C35,C36,C39,C40,C48,C51,C52,C54",17,mainboard,component,yes,C190183,Extended,In stock
51,302012521,SMD CAP Ceramic;470nF-6.3V;0201,YAGEO,CC0201KRX5R5BB474,"C19,C33",2,mainboard,component,yes,C326573,Extended,In stock
52,302010420,SMD CAP Ceramic 100pF-50V-5%-NP0;0201,YAGEO,CC0201JRNPO9BN101,C45,1,mainboard,component,yes,C272870,Extended,In stock
53,302013030,SMD CAP Ceramic 0.7pF-50V-0.1pF-NPO;0201,YAGEO,CC0201BRNPO9BNR70,"C12,C15,C49,C50",4,mainboard,component,yes,C576685,Extended,Out of stock
54,310100689,SMD IC Analog; SPDT RF Switch;DFN-6(0.7x1.1),FUMAN,FM8625H,U10,1,mainboard,component,yes,C2857391,Extended,In stock
55,304092128,SMD LED RGB;4P-L0.69*W0.69*H0.48mm,MEIHUA,MHPA0606RGBDT,"D2,D7",2,mainboard,component,yes,,N/A,Larger sizes (0808/1010) available
56,311021801,SMD Top Button 163gf:4P-2.6*1.6*0.53mm,JINBEILI,TS-1001S,K2,1,mainboard,component,yes,,N/A,Not on LCSC
57,320991624,SMD PogoPin WH1.5mm;1.4*1.4*2.0mm,JINLANTIAN,CA02-PG07,"PP1,PP2,PP3,PP4,PP5,PP6",6,mainboard,component,yes,,N/A,Not on LCSC
88,301010185,SMD RES 10R-±1%;0603,YAGEO,RC0603FR-0710RL,R21,1,mainboard,component,yes,C109318,Extended,In stock
